,IPPort,Last Checked,Epoch
414,91.90.180.185:8080,13 hours ago,1630373509
415,190.8.41.18:999,11 hours ago,1630380709
417,64.251.80.197:80,16 hours ago,1630362709
418,51.210.125.74:8081,15 hours ago,1630366309
419,195.4.185.229:8080,16 hours ago,1630362709
420,18.230.101.196:80,13 hours ago,1630373509
421,61.85.178.168:3128,11 hours ago,1630380709
422,61.219.53.23:8080,12 hours ago,1630377109
423,47.243.41.241:3128,13 hours ago,1630373509
424,186.148.163.20:999,14 hours ago,1630369909
425,179.49.161.211:999,14 hours ago,1630369909
426,200.29.111.215:999,12 hours ago,1630377109
427,131.72.68.230:45005,12 hours ago,1630377109
428,5.196.222.184:3128,14 hours ago,1630369909
429,177.53.242.142:3128,14 hours ago,1630369909
430,172.107.159.203:443,16 hours ago,1630362709
431,186.28.229.210:999,15 hours ago,1630366309
432,13.126.84.235:8000,16 hours ago,1630362709
434,209.45.4.163:999,14 hours ago,1630369909
435,177.33.216.231:3129,10 hours ago,1630384309
436,78.159.157.89:8080,15 hours ago,1630366309
437,66.42.51.41:3128,16 hours ago,1630362709
438,190.113.40.205:999,8 hours ago,1630391509
439,194.233.69.90:443,15 hours ago,1630366309
440,170.84.50.218:8080,8 hours ago,1630391509
441,131.72.71.132:45005,14 hours ago,1630369909
442,5.130.90.3:8080,15 hours ago,1630366309
443,201.149.102.182:8085,12 hours ago,1630377109
444,221.155.163.113:8080,15 hours ago,1630366309
445,139.180.129.150:3128,13 hours ago,1630373509
446,190.57.245.250:8080,12 hours ago,1630377109
447,181.13.14.8:8081,16 hours ago,1630362709
448,43.132.204.105:808,9 hours ago,1630387909
449,186.67.194.154:999,14 hours ago,1630369909
450,179.51.204.19:999,11 hours ago,1630380709
451,200.111.22.66:999,16 hours ago,1630362709
452,201.182.250.36:18080,12 hours ago,1630377109
454,45.229.32.190:999,13 hours ago,1630373509
455,18.138.49.42:443,12 hours ago,1630377109
456,181.112.164.138:999,16 hours ago,1630362709
457,190.107.31.101:999,16 hours ago,1630362709
458,131.72.68.254:45005,16 hours ago,1630362709
459,172.107.159.202:443,15 hours ago,1630366309
460,34.138.225.120:8888,15 hours ago,1630366309
461,139.59.225.27:3128,8 hours ago,1630391509
462,185.236.189.99:8080,9 hours ago,1630387909
463,195.250.254.18:8080,15 hours ago,1630366309
464,131.72.68.33:45005,15 hours ago,1630366309
465,188.166.162.1:3128,9 hours ago,1630387909
466,217.79.181.109:443,15 hours ago,1630366309
467,198.20.116.74:8080,10 hours ago,1630384309
468,34.95.191.125:80,11 hours ago,1630380709
469,182.48.255.4:80,16 hours ago,1630362709
471,45.229.33.76:999,10 hours ago,1630384309
472,177.36.151.93:8080,14 hours ago,1630369909
473,131.161.131.1:45005,13 hours ago,1630373509
474,165.22.105.218:3128,14 hours ago,1630369909
475,140.227.63.136:58888,15 hours ago,1630366309
476,190.108.87.244:999,14 hours ago,1630369909
477,140.227.118.184:6000,11 hours ago,1630380709
478,138.118.116.235:8080,15 hours ago,1630366309
479,140.227.66.105:58888,12 hours ago,1630377109
480,34.146.89.86:3128,14 hours ago,1630369909
481,82.114.105.49:1256,15 hours ago,1630366309
482,34.64.244.254:3128,9 hours ago,1630387909
483,200.68.128.249:3128,15 hours ago,1630366309
484,85.117.56.85:8080,15 hours ago,1630366309
485,200.124.29.19:8080,10 hours ago,1630384309
486,139.99.74.79:8080,8 hours ago,1630391509
487,181.78.11.219:999,14 hours ago,1630369909
488,54.38.63.140:3128,8 hours ago,1630391509
489,194.163.159.171:3128,15 hours ago,1630366309
491,190.110.99.222:999,9 hours ago,1630387909
492,45.70.201.179:999,14 hours ago,1630369909
493,144.91.86.144:3128,12 hours ago,1630377109
494,36.95.84.165:8080,13 hours ago,1630373509
495,20.82.200.229:3128,15 hours ago,1630366309
496,103.61.68.41:83,10 hours ago,1630384309
497,88.255.102.102:8080,16 hours ago,1630362709
498,109.86.182.203:3128,12 hours ago,1630377109
499,1.186.34.68:80,10 hours ago,1630384309
500,202.93.229.195:3128,16 hours ago,1630362709
501,95.0.206.19:8080,10 hours ago,1630384309
502,180.183.72.195:8081,16 hours ago,1630362709
503,45.125.239.150:3128,10 hours ago,1630384309
504,200.136.74.234:8080,16 hours ago,1630362709
505,117.102.87.66:8080,16 hours ago,1630362709
506,88.205.232.66:8080,16 hours ago,1630362709
508,82.137.244.244:80,12 hours ago,1630377109
509,173.68.59.131:3128,9 hours ago,1630387909
510,182.48.253.134:80,13 hours ago,1630373509
511,157.90.103.34:8080,10 hours ago,1630384309
512,78.47.104.35:3128,12 hours ago,1630377109
513,103.20.188.5:8181,12 hours ago,1630377109
514,183.89.42.201:8080,15 hours ago,1630366309
515,217.196.20.150:8080,15 hours ago,1630366309
516,20.206.99.104:3128,8 hours ago,1630391509
517,181.177.141.92:8090,10 hours ago,1630384309
518,189.150.19.49:999,16 hours ago,1630362709
519,190.217.7.65:999,13 hours ago,1630373509
520,96.9.88.156:8080,16 hours ago,1630362709
521,103.106.78.194:80,12 hours ago,1630377109
522,36.92.88.106:8080,14 hours ago,1630369909
523,182.253.94.230:8080,10 hours ago,1630384309
524,190.104.233.233:999,12 hours ago,1630377109
525,116.202.165.119:3128,8 hours ago,1630391509
526,20.76.198.244:3128,11 hours ago,1630380709
528,91.207.147.243:38472,15 hours ago,1630366309
529,14.207.20.112:8080,15 hours ago,1630366309
530,118.99.124.172:8080,16 hours ago,1630362709
531,103.231.160.74:8080,15 hours ago,1630366309
532,103.28.148.203:8080,14 hours ago,1630369909
533,179.127.174.58:8080,15 hours ago,1630366309
534,103.65.238.225:8080,12 hours ago,1630377109
535,195.201.61.51:8000,10 hours ago,1630384309
536,51.91.56.88:3128,13 hours ago,1630373509
537,103.216.207.15:8080,11 hours ago,1630380709
538,168.196.211.10:55443,13 hours ago,1630373509
539,61.14.228.126:8080,14 hours ago,1630369909
